name,release_year,poster,imdbid,streaming,rent,buy,num_streaming
The Color Purple,2023,https://images.justwatch.com/poster/310195173/s718/the-color-purple-2023.jpg,tt1200263,"['HBO Max', 'HBO Max Amazon Channel', 'YouTube TV']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Plex ($4.99)']",['Amazon DVD / Blu-ray ($None)'],3
The Boy and the Heron,2023,https://images.justwatch.com/poster/312644830/s718/kimitachi-wa-do-ikiru-ka.jpg,tt6587046,"['HBO Max', 'HBO Max Amazon Channel']","['Amazon Video ($3.99)', 'Spectrum On Demand ($3.99)', 'Apple TV Store ($4.99)', 'Google Play Movies ($4.99)', 'YouTube ($4.99)', 'Fandango At Home ($4.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($24.49)', 'Zavvi ($30.99)']",2
Elemental,2023,https://images.justwatch.com/poster/307263254/s718/elemental-2023.jpg,tt15789038,['Disney Plus'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']",['Barnes & Noble ($25.99)'],1
Nimona,2023,https://images.justwatch.com/poster/306318494/s718/nimona.jpg,tt19500164,"['Netflix', 'Netflix Standard with Ads']",[],[],2
Robot Dreams,2023,https://images.justwatch.com/poster/318235455/s718/robot-dreams.jpg,tt13429870,['Hulu'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)', 'Plex ($3.99)']","['Barnes & Noble ($12.59)', 'Zavvi ($16.98)', 'Amazon DVD / Blu-ray ($17.02)']",1
Spider-Man: Across the Spider-Verse,2023,https://images.justwatch.com/poster/305309017/s718/spider-man-into-the-spider-verse-2.jpg,tt9362722,"['Disney Plus', 'fuboTV']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($14.95)', 'Barnes & Noble ($26.99)']",2
El conde,2023,https://images.justwatch.com/poster/309159198/s718/el-conde.jpg,tt21113540,"['Netflix', 'Netflix Standard with Ads']",[],[],2
Napoleon,2023,https://images.justwatch.com/poster/309692038/s718/napoleon-2023.jpg,tt13287846,"['Apple TV', 'Apple TV Amazon Channel']",['Apple TV Store ($3.99)'],"['Amazon Video ($14.99)', 'Google Play Movies ($14.99)', 'YouTube ($14.99)', 'Fandango At Home ($14.99)']",2
The Zone of Interest,2023,https://images.justwatch.com/poster/311984962/s718/the-zone-of-interest.jpg,tt7160372,[],"['Spectrum On Demand ($3.99)', 'Plex ($3.99)', 'Amazon Video ($4.99)', 'Apple TV Store ($4.99)', 'Fandango At Home ($4.99)', 'Google Play Movies ($7.99)', 'YouTube ($7.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($29.99)']",0
Bobi Wine: The People's President,2023,https://images.justwatch.com/poster/308654802/s718/bobi-wine-ghetto-president.jpg,tt21376900,['Disney Plus'],[],[],1
