Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation,MultifilmNomination,YearStart
97,2024,Production,COSTUME DESIGN,COSTUME DESIGN,fake_nomid064,Gladiator II,tt9218128,Janty Yates and Dave Crossman,"Janty Yates, Dave Crossman","nm0946765,nm0189366",,,,,,2024
97,2024,Production,COSTUME DESIGN,COSTUME DESIGN,fake_nomid061,Nosferatu,tt5040012,Linda Muir,Linda Muir,nm0611379,,,,,,2024
97,2024,Production,COSTUME DESIGN,COSTUME DESIGN,fake_nomid060,Wicked,tt1262426,Paul Tazewell,Paul Tazewell,nm3477899,True,,,,,2024
97,2024,Directing,DIRECTING,DIRECTING,fake_nomid032,Anora,tt28607951,Sean Baker,Sean Baker,nm0048918,True,,,,,2024
97,2024,Directing,DIRECTING,DIRECTING,fake_nomid030,The Brutalist,tt8999762,Brady Corbet,Brady Corbet,nm1227232,,,,,,2024
97,2024,Directing,DIRECTING,DIRECTING,fake_nomid034,A Complete Unknown,tt11563598,James Mangold,James Mangold,nm0003506,,,,,,2024
97,2024,Directing,DIRECTING,DIRECTING,fake_nomid031,Emilia Pérez,tt20221436,Jacques Audiard,Jacques Audiard,nm0002191,,,,,,2024
97,2024,Directing,DIRECTING,DIRECTING,fake_nomid033,The Substance,tt17526714,Coralie Fargeat,Coralie Fargeat,nm0267287,,,,,,2024
97,2024,Title,DOCUMENTARY (Feature),DOCUMENTARY FEATURE FILM,fake_nomid090,Black Box Diaries,tt30227076,"Shiori Ito, Eric Nyari and Hanna Aqvilin","Shiori Ito, Eric Nyari, Hanna Aqvilin","nm10340152,nm3552229,nm8687719",,,,,,2024
97,2024,Title,DOCUMENTARY (Feature),DOCUMENTARY FEATURE FILM,fake_nomid091,No Other Land,tt30953759,"Basel Adra, Rachel Szor, Hamdan Ballal and Yuval Abraham","Basel Adra, Rachel Szor, Hamdan Ballal, Yuval Abraham","nm15732719,nm15732722,nm15732720,nm15732721",True,,,,,2024
97,2024,Title,DOCUMENTARY (Feature),DOCUMENTARY FEATURE FILM,fake_nomid092,Porcelain War,tt30294282,"Brendan Bellomo, Slava Leontyev, Aniela Sidorska and Paula DuPre' Pesmen","Brendan Bellomo, Slava Leontyev, Aniela Sidorska, Paula DuPre' Pesmen","nm2252386,nm13731165,nm4527585,nm0243462",,,,,,2024
97,2024,Title,DOCUMENTARY (Feature),DOCUMENTARY FEATURE FILM,fake_nomid093,Soundtrack to a Coup d'Etat,tt14452174,"Johan Grimonprez, Daan Milius and Rémi Grellety","Johan Grimonprez, Daan Milius, Rémi Grellety","nm1431615,nm4210363,nm4009159",,,,,,2024
97,2024,Title,DOCUMENTARY (Feature),DOCUMENTARY FEATURE FILM,fake_nomid094,Sugarcane,tt30319854,"Julian Brave NoiseCat, Emily Kassie and Kellen Quinn","Julian Brave NoiseCat, Emily Kassie, Kellen Quinn","nm11927478,nm3354131,nm2062930",,,,,,2024
97,2024,Title,DOCUMENTARY (Short Subject),DOCUMENTARY SHORT FILM,fake_nomid110,Death by Numbers,tt33385063,Kim A. Snyder and Janique L. Robillard,"Kim A. Snyder, Janique L. Robillard","nm0811502,nm4953625",,,,,,2024
97,2024,Title,DOCUMENTARY (Short Subject),DOCUMENTARY SHORT FILM,fake_nomid111,"I Am Ready, Warden",tt31556921,Smriti Mundhra and Maya Gnyp,"Smriti Mundhra, Maya Gnyp","nm0612731,nm3849774",,,,,,2024
97,2024,Title,DOCUMENTARY (Short Subject),DOCUMENTARY SHORT FILM,fake_nomid112,Incident,tt27990245,Bill Morrison and Jamie Kalven,"Bill Morrison, Jamie Kalven","nm0994484,nm7758108",,,,,,2024
97,2024,Title,DOCUMENTARY (Short Subject),DOCUMENTARY SHORT FILM,fake_nomid113,Instruments of a Beating Heart,tt32280470,Ema Ryan Yamazaki and Eric Nyari,"Ema Ryan Yamazaki, Eric Nyari","nm3655292,nm3552229",,,,,,2024
97,2024,Title,DOCUMENTARY (Short Subject),DOCUMENTARY SHORT FILM,fake_nomid114,The Only Girl in the Orchestra,tt29497240,Molly O'Brien and Lisa Remington,"Molly O'Brien, Lisa Remington","nm0639739,nm1919152",True,,,,,2024
97,2024,Production,FILM EDITING,FILM EDITING,fake_nomid051,Anora,tt28607951,Sean Baker,Sean Baker,nm0048918,True,,,,,2024
97,2024,Production,FILM EDITING,FILM EDITING,fake_nomid054,The Brutalist,tt8999762,David Jancso,David Jancso,nm0417347,,,,,,2024
97,2024,Production,FILM EDITING,FILM EDITING,fake_nomid050,Conclave,tt20215234,Nick Emerson,Nick Emerson,nm2512313,,,,,,2024
97,2024,Production,FILM EDITING,FILM EDITING,fake_nomid052,Emilia Pérez,tt20221436,Juliette Welfling,Juliette Welfling,nm0919761,,,,,,2024
97,2024,Production,FILM EDITING,FILM EDITING,fake_nomid053,Wicked,tt1262426,Myron Kerstein,Myron Kerstein,nm0450005,,,,,,2024
97,2024,Title,INTERNATIONAL FEATURE FILM,INTERNATIONAL FEATURE FILM,fake_nomid117,Emilia Pérez,tt20221436,France,,,,,,,,2024
97,2024,Title,INTERNATIONAL FEATURE FILM,INTERNATIONAL FEATURE FILM,fake_nomid119,Flow,tt4772188,Latvia,,,,,,,,2024
97,2024,Title,INTERNATIONAL FEATURE FILM,INTERNATIONAL FEATURE FILM,fake_nomid116,The Girl with the Needle,tt10236164,Denmark,,,,,,,,2024
97,2024,Title,INTERNATIONAL FEATURE FILM,INTERNATIONAL FEATURE FILM,fake_nomid115,I'm Still Here,tt14961016,Brazil,,,True,,,,,2024
97,2024,Title,INTERNATIONAL FEATURE FILM,INTERNATIONAL FEATURE FILM,fake_nomid118,The Seed of the Sacred Fig,tt32178949,Germany,,,,,,,,2024
97,2024,Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,fake_nomid070,A Different Man,tt21097228,"Mike Marino, David Presto and Crystal Jurado","Mike Marino, David Presto, Crystal Jurado","nm0002514,nm1404648,nm10455135",,,,,,2024
97,2024,Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,fake_nomid071,Emilia Pérez,tt20221436,"Julia Floch Carbonel, Emmanuel Janvier and Jean-Christophe Spadaccini","Julia Floch Carbonel, Emmanuel Janvier, Jean-Christophe Spadaccini","nm2086842,nm13243014,nm0816504",,,,,,2024
97,2024,Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,fake_nomid072,Nosferatu,tt5040012,"David White, Traci Loader and Suzanne Stokes-Munton","David White, Traci Loader, Suzanne Stokes-Munton","nm0924675,nm0516365,nm0831404",,,,,,2024
97,2024,Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,fake_nomid073,The Substance,tt17526714,"Pierre-Olivier Persin, Stéphanie Guillon and Marilyne Scarselli","Pierre-Olivier Persin, Stéphanie Guillon, Marilyne Scarselli","nm1031952,nm1213050,nm3388862",True,,,,,2024
97,2024,Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,fake_nomid074,Wicked,tt1262426,"Frances Hannon, Laura Blount and Sarah Nuth","Frances Hannon, Laura Blount, Sarah Nuth","nm0360470,nm3368818,nm2942968",,,,,,2024
97,2024,Music,MUSIC (Original Score),MUSIC (Original Score),fake_nomid075,The Brutalist,tt8999762,Daniel Blumberg,Daniel Blumberg,nm11771045,True,,,,,2024
97,2024,Music,MUSIC (Original Score),MUSIC (Original Score),fake_nomid076,Conclave,tt20215234,Volker Bertelmann,Volker Bertelmann,nm2890617,,,,,,2024
97,2024,Music,MUSIC (Original Score),MUSIC (Original Score),fake_nomid077,Emilia Pérez,tt20221436,Clément Ducol and Camille,"Clément Ducol, Camille","nm4711393,nm1722079",,,,,,2024
97,2024,Music,MUSIC (Original Score),MUSIC (Original Score),fake_nomid078,Wicked,tt1262426,John Powell and Stephen Schwartz,"John Powell, Stephen Schwartz","nm0694173,nm0777451",,,,,,2024
97,2024,Music,MUSIC (Original Score),MUSIC (Original Score),fake_nomid079,The Wild Robot,tt29623480,Kris Bowers,Kris Bowers,nm3929283,,,,,,2024
97,2024,Music,MUSIC (Original Song),MUSIC (Original Song),fake_nomid081,Emilia Pérez,tt20221436,"Music by Clément Ducol and Camille; Lyric by Clément Ducol, Camille and Jacques Audiard","Clément Ducol, Camille, Jacques Audiard","nm4711393,nm1722079,nm0002191",True,El Mal,,,,2024
97,2024,Music,MUSIC (Original Song),MUSIC (Original Song),fake_nomid084,The Six Triple Eight,tt24458622,Music and Lyric by Diane Warren,Diane Warren,nm0005534,,The Journey,,,,2024
97,2024,Music,MUSIC (Original Song),MUSIC (Original Song),fake_nomid083,Sing Sing,tt28479262,Music and Lyric by Abraham Alexander and Adrian Quesada,"Abraham Alexander, Adrian Quesada","nm11153958,nm2557663",,Like A Bird,,,,2024
97,2024,Music,MUSIC (Original Song),MUSIC (Original Song),fake_nomid082,Emilia Pérez,tt20221436,Music and Lyric by Camille and Clément Ducol,"Camille, Clément Ducol","nm1722079,nm4711393",,Mi Camino,,,,2024
